omega,V
38.88744372186093,-120159383.436258
39.13356678339169,-121665650.914522
39.37968984492246,-123180926.713482
39.62581290645323,-124705201.494570
39.871935967983994,-126238465.860666
40.118059029514754,-127780710.356104
40.36418209104552,-129331925.466669
40.61030515257629,-130892101.619595
40.856428214107055,-132461229.183568
41.10255127563782,-134039298.468726
41.34867433716858,-135626299.726655
41.59479739869935,-137222223.150396
41.840920460230116,-138827058.874438
42.08704352176088,-140440796.974722
42.33316658329164,-142063427.468640
42.57928964482241,-143694940.315034
42.82541270635318,-145335325.414199
43.071535767883944,-146984572.607880
43.317658829414704,-148642671.679271
43.56378189094547,-150309612.353021
43.80990495247624,-151985384.295226
44.056028014007005,-153669977.113435
44.30215107553777,-155363380.356649
44.54827413706853,-157065583.515317
44.7943971985993,-158776576.021342
45.040520260130066,-160496347.248076
45.28664332166083,-162224886.510322
45.53276638319159,-163962183.064336
45.77888944472236,-165708226.107823
46.02501250625313,-167463004.779939
46.271135567783894,-169226508.161293
46.517258629314654,-170998725.273941
46.76338169084542,-172779645.081395
47.00950475237619,-174569256.488614
47.255627813906955,-176367548.342010
47.50175087543772,-178174509.429446
47.74787393696848,-179990128.480234
47.99399699849925,-181814394.165139
48.240120060030016,-183647295.096377
48.48624312156078,-185488819.827614
48.73236618309154,-187338956.853966
48.97848924462231,-189197694.612004
49.22461230615308,-191065021.479745
49.470735367683844,-192940925.776660
49.716858429214604,-194825395.763670
49.96298149074537,-196718419.643148
50.20910455227614,-198619985.558917
50.455227613806905,-200530081.596250
50.70135067533767,-202448695.781873
50.94747373686843,-204375816.083963
51.1935967983992,-206311430.412145
51.439719859929966,-208255526.617500
51.68584292146073,-210208092.492554
51.93196598299149,-212169115.771289
52.17808904452226,-214138584.129135
52.42421210605303,-216116485.182975
52.670335167583794,-218102806.491141
52.91645822911455,-220097535.553418
53.16258129064532,-222100659.811040
53.40870435217609,-224112166.646694
53.654827413706855,-226132043.384515
53.90095047523762,-228160277.290093
54.14707353676838,-230196855.570466
54.39319659829915,-232241765.374123
54.639319659829916,-234294993.791006
54.88544272136068,-236356527.852506
55.13156578289144,-238426354.531467
55.37768884442221,-240504460.742181
55.62381190595298,-242590833.340394
55.86993496748374,-244685459.123301
56.1160580290145,-246788324.829549
56.36218109054527,-248899417.139236
56.60830415207604,-251018722.673911
56.854427213606805,-253146227.996572
57.10055027513757,-255281919.611670
57.34667333666833,-257425783.965108
57.5927963981991,-259577807.444238
57.838919459729865,-261737976.377862
58.08504252126063,-263906277.036237
58.33116558279139,-266082695.631067
58.57728864432216,-268267218.315508
58.823411705852926,-270459831.184168
59.06953476738369,-272660520.273107
59.31565782891445,-274869271.559832
59.56178089044522,-277086070.963304
59.80790395197599,-279310904.343935
60.054027013506754,-281543757.503588
60.30015007503752,-283784616.185575
60.54627313656828,-286033466.074660
60.79239619809905,-288290292.797059
61.038519259629815,-290555081.920439
61.28464232116058,-292827818.953916
61.53076538269134,-295108489.348059
61.77688844422211,-297397078.494887
62.023011505752876,-299693571.727870
62.26913456728364,-301997954.321930
62.5152576288144,-304310211.493437
62.76138069034517,-306630328.400216
63.00750375187594,-308958290.141541
63.253626813406704,-311294081.758136
63.49974987493747,-313637688.232179
63.74587293646823,-315989094.487294
63.991995997999,-318348285.388562
64.23811905952977,-320715245.742510
64.48424212106053,-323089960.297119
64.7303651825913,-325472413.741820
64.97648824412207,-327862590.707494
65.22261130565282,-330260475.766475
65.46873436718359,-332666053.432546
65.71485742871435,-335079308.160942
65.96098049024512,-337500224.348349
66.20710355177589,-339928786.332904
66.45322661330665,-342364978.394195
66.69934967483742,-344808784.753260
66.94547273636819,-347260189.572589
67.19159579789896,-349719176.956123
67.43771885942971,-352185730.949254
67.68384192096048,-354659835.538824
67.92996498249124,-357141474.653127
68.17608804402201,-359630632.161907
68.42221110555278,-362127291.876361
68.66833416708354,-364631437.549135
68.91445722861431,-367143052.874326
69.16058029014508,-369662121.487483
69.40670335167584,-372188626.965605
69.6528264132066,-374722552.827144
69.89894947473736,-377263882.532000
70.14507253626813,-379812599.481526
70.3911955977989,-382368687.018525
70.63731865932967,-384932128.427253
70.88344172086043,-387502906.933413
71.1295647823912,-390081005.704163
71.37568784392197,-392666407.848111
71.62181090545272,-395259096.415313
71.86793396698349,-397859054.397281
72.11405702851425,-400466264.726973
72.36018009004502,-403080710.278802
72.60630315157579,-405702373.868629
72.85242621310655,-408331238.253768
73.09854927463732,-410967286.132984
73.34467233616809,-413610500.146490
73.59079539769886,-416260862.875954
73.83691845922961,-418918356.844492
74.08304152076037,-421582964.516673
74.32916458229114,-424254668.298516
74.57528764382191,-426933450.537490
74.82141070535268,-429619293.522518
75.06753376688344,-432312179.483971
75.31365682841421,-435012090.593672
75.55977988994498,-437719008.964895
75.80590295147574,-440432916.652364
76.0520260130065,-443153795.652257
76.29814907453726,-445881627.902200
76.54427213606803,-448616395.281271
76.7903951975988,-451358079.609998
77.03651825912956,-454106662.650362
77.28264132066033,-456862126.105794
77.5287643821911,-459624451.621175
77.77488744372187,-462393620.782838
78.02101050525262,-465169615.118567
78.26713356678339,-467952416.097597
78.51325662831415,-470742005.130614
78.75937968984492,-473538363.569753
79.00550275137569,-476341472.708604
79.25162581290645,-479151313.782204
79.49774887443722,-481967867.967043
79.74387193596799,-484791116.381062
79.98999499749875,-487621040.083653
80.23611805902951,-490457620.075658
80.48224112056027,-493300837.299371
80.72836418209104,-496150672.638536
80.97448724362181,-499007106.918349
81.22061030515258,-501870120.905456
81.46673336668334,-504739695.307955
81.71285642821411,-507615810.775395
81.95897948974488,-510498447.898774
82.20510255127564,-513387587.210543
82.4512256128064,-516283209.184604
82.69734867433716,-519185294.236309
82.94347173586793,-522093822.722462
83.1895947973987,-525008774.941316
83.43571785892946,-527930131.132577
83.68184092046023,-530857871.477402
83.927963981991,-533791976.098397
84.17408704352177,-536732425.059622
84.42021010505252,-539679198.366584
84.66633316658329,-542632275.966245
84.91245622811405,-545591637.747015
85.15857928964482,-548557263.538757
85.40470235117559,-551529133.112784
85.65082541270635,-554507226.181860
85.89694847423712,-557491522.400201
86.14307153576789,-560482001.363471
86.38919459729865,-563478642.608789
86.63531765882941,-566481425.614722
86.88144072036017,-569490329.801290
87.12756378189094,-572505334.529962
87.37368684342171,-575526419.103659
87.61980990495248,-578553562.766754
87.86593296648324,-581586744.705069
88.11205602801401,-584625944.045879
88.35817908954478,-587671139.857907
88.60430215107554,-590722311.151331
88.8504252126063,-593779436.877776
89.09654827413706,-596842495.930322
89.34267133566783,-599911467.143495
89.5887943971986,-602986329.293277
89.83491745872936,-606067061.097099
90.08104052026013,-609153641.213841
90.3271635817909,-612246048.243836
90.57328664332167,-615344260.728869
90.81940970485242,-618448257.152174
91.06553276638319,-621558015.938437
91.31165582791395,-624673515.453794
91.55777888944472,-627794734.005833
91.80390195097549,-630921649.843592
92.05002501250625,-634054241.157562
92.29614807403702,-637192486.079682
92.54227113556779,-640336362.683344
92.78839419709855,-643485848.983392
93.03451725862931,-646640922.936117
93.28064032016007,-649801562.439265
93.52676338169084,-652967745.332031
93.77288644322161,-656139449.395062
94.01900950475238,-659316652.350455
94.26513256628314,-662499331.861759
94.51125562781391,-665687465.533972
94.75737868934468,-668881030.913545
95.00350175087544,-672080005.488380
95.2496248124062,-675284366.687829
95.49574787393696,-678494091.882694
95.74187093546773,-681709158.385231
95.9879939969985,-684929543.449145
96.23411705852926,-688155224.269591
96.48024012006003,-691386177.983178
96.7263631815908,-694622381.667962
96.97248624312157,-697863812.343454
97.21860930465232,-701110446.970613
97.46473236618309,-704362262.451851
97.71085542771385,-707619235.631029
97.95697848924462,-710881343.293462
98.20310155077539,-714148562.165912
98.44922461230615,-717420868.916595
98.69534767383692,-720698240.155176
98.94147073536769,-723980652.432774
99.18759379689845,-727268082.241955
99.43371685842921,-730560506.016739
99.67983991995997,-733857900.132596
99.92596298149074,-737160240.906446
100.17208604302151,-740467504.596662
100.41820910455228,-743779667.403067
100.66433216608304,-747096705.466933
100.91045522761381,-750418594.870986
101.15657828914458,-753745311.639402
101.40270135067534,-757076831.737808
101.6488244122061,-760413131.073280
101.89494747373686,-763754185.494349
102.14107053526763,-767099970.790994
102.3871935967984,-770450462.694645
102.63331665832916,-773805636.878184
102.87943971985993,-777165468.955944
103.1255627813907,-780529934.483708
103.37168584292147,-783899008.958711
103.61780890445222,-787272667.819639
103.86393196598299,-790650886.446628
104.11005502751375,-794033640.161266
104.35617808904452,-797420904.226590
104.60230115057529,-800812653.847092
104.84842421210605,-804208864.168711
105.09454727363682,-807609510.278838
105.34067033516759,-811014567.206316
105.58679339669835,-814424009.921439
105.8329164582291,-817837813.335950
106.07903951975987,-821255952.303047
106.32516258129064,-824678401.617373
106.57128564282141,-828105136.015028
106.81740870435218,-831536130.173558
107.06353176588294,-834971358.711964
