Y_{1},Y_{2},Z_{1},Z_{2},Z_{3},Z_{4},\operatorname{re}{\left(Y_{12}\right)},\operatorname{im}{\left(Y_{12}\right)},\operatorname{re}{\left(Z_{5}\right)},\operatorname{im}{\left(Z_{5}\right)},\operatorname{re}{\left(Z_{6}\right)},\operatorname{im}{\left(Z_{6}\right)},\operatorname{re}{\left(Z_{7}\right)},\operatorname{im}{\left(Z_{7}\right)},v,\delta Y_{1},\delta Y_{2},\delta Z_{1},\delta Z_{2},\delta Z_{3},\delta Z_{4},\operatorname{re}{\left(\delta Y_{12}\right)},\operatorname{im}{\left(\delta Y_{12}\right)},\operatorname{re}{\left(\delta Z_{5}\right)},\operatorname{im}{\left(\delta Z_{5}\right)},\operatorname{re}{\left(\delta Z_{6}\right)},\operatorname{im}{\left(\delta Z_{6}\right)},\operatorname{re}{\left(\delta Z_{7}\right)},\operatorname{im}{\left(\delta Z_{7}\right)},\delta T_{1},\delta T_{2},\delta T_{CP},\delta T_{CB},\delta\Delta_{13},\delta\Delta_{33},\delta\Delta_{14},\delta\Delta_{24},\delta\Delta_{67},\delta\Delta_{78},m_1,m_2,m_3,m_4,m_5,m_6
-253351.746002745,297382.146982904,8.3730499703465,-9.53347491368272,-9.80097335193395,11.7694572808679,-103511.405008081,-103511.405008081,0.880607927065723,2.71259491272464,-3.42095991169544,4.82839413682377,-7.41923656492804,-5.78645694776587,246,-287291.198867095,36148.1481498636,6.20954021338128,0,0,-0.447253214684793,-76035.181260795,-33563.5693943118,3.7057426020183,-4.07013230731333,-0.289451250360228,-0.564595419451639,0,0,16689486.8138006,-14827808.18666,1333492.51872466,0,46.7284254842069,232.08545692977,0,0,-139.841587620281,50.736408827477,0,28.7105433610359,107.873181735871,875.065711550051,665.744648154415,0
-245932.991793222,208368.490673319,8.12786673915071,4.31646620006252,-6.86483033538666,9.27733184903017,-16955.5900492776,-16955.5900492776,-0.337912428122143,-6.3545598828267,-0.560367177251555,3.28008069803056,6.77599019090675,-7.86294871798862,246,-117689.420996775,3828.86958385942,1.71356292685137,0,0,2.52916566983827,-80632.2731644959,102027.430217273,1.41496943899956,3.75891400467535,-0.328105422103867,1.82953948744325,0,0,10269931.4619964,-19728979.5821083,-14835185.6566787,0,-130.578258067815,105.531012137389,0,0,152.284156951872,-297.189382729458,0,25.5431866686566,234.386939026458,813.861543614325,580.7667838059,0
-301174.423413625,-296361.890597259,9.95354694340752,-1.14936837070286,9.82153601012395,9.05919005637955,80695.8240504071,80695.8240504071,5.05213382280894,-2.55119245606438,2.66692524457688,1.25796046027223,8.90210304507773,10.1013092670214,246,-194595.743540523,-144634.799299905,2.05442786230626,0,0,2.41799153431785,-63177.4580672454,-82758.7113092113,4.02567117809693,0.557788514351801,-0.93750370728848,-1.51272583070176,0,0,28117927.0604213,-15984549.1544288,11124970.0291688,0,42.2171198053091,55.9773218207242,0,0,-287.220597687117,-480.415550703448,0,28.6032515122257,278.174602227469,836.524710893296,612.418470503409,0
-271522.674736379,-31826.2380011515,8.97358301065433,9.42991302665166,1.07292556754896,10.8862503395310,103495.067454903,103495.067454903,-2.59360007784455,-6.43995376277337,3.42041997008734,-1.95845798868051,0.719424805957463,6.57756455250361,246,-216958.802342704,-76939.4680904563,2.83255833717887,0,0,1.64132884568786,202278.767806323,-182996.871212351,0.503878595710630,2.51480399761642,1.48869087173020,-2.90612130826520,0,0,24900959.9783243,38005365.4441010,24580565.6963249,0,-84.9339320074626,419.132251167243,0,0,-283.433693305136,410.756305812459,0,25.2654669805453,297.664113103636,874.333957385676,591.650715706348,0
-279849.510508210,190231.973578611,9.24877753018077,11.4039252590583,-6.27949894104748,11.2504567455561,-76215.1382615376,-76215.1382615376,6.01660142676172,8.29872186799764,-2.51884256267888,1.09058374216835,7.56455048697619,0.115637853975219,246,-151752.892304149,-88448.1088942871,1.98464670192734,0,0,8.75471887547454,-50308.5034016949,-436481.653483811,7.33589098394086,-5.16271029311202,1.19243844926075,-4.77623544773583,0,0,13541455.4134472,-25867807.2986321,72376353.2140503,0,139.506965125282,315.474876706203,0,0,-1166.38466347033,-387.608321086761,0,15.0630216223811,15.7194004700247,853.263322456159,716.016797059415,0
-184256.348418353,-237577.306415176,6.08950850744773,1.36272585316607,7.86249598790221,10.6459978605387,-45143.3892379700,-45143.3892379700,-2.75770550494455,4.29502073166887,-1.49194888089001,1.18924298070511,1.62495305862392,-3.91356544287778,246,-30012.5490833336,-42409.8171386969,-1.42793914578181,0,0,2.99533993711792,-46380.3297200523,-53319.8967383062,-1.58982001613070,2.52888945821348,-1.16206112579313,-0.834289655722025,0,0,12898183.2298538,-1918042.69340506,5845611.50625099,0,-53.1434574950887,18.8053677168114,0,0,-97.5698611586585,-28.3510074376965,0,18.0581612233651,341.267543800312,694.498441657879,643.914960085479,0
-211182.323097924,-170141.798301362,6.97938803284831,-1.24955315307871,5.65293842081444,10.5884026302694,47098.9465370340,47098.9465370340,2.23125728378334,-0.359392086212937,1.55657831109241,-0.00750859016416960,0.365336711907911,0.623390168025585,246,-122779.084468113,-33234.8273177527,2.08576778000729,0,0,1.41343301948466,25544.4307401537,-21398.0166777676,2.22207423027161,0.0533648297655155,-0.300580613970164,-0.317519105842273,0,0,12111774.8767742,7244229.82546847,2986625.21641961,0,-14.2117632944263,94.8994029644899,0,0,-52.9346724965822,42.6564941822001,0,30.0801003263124,502.427310215213,708.153674664463,557.698140260155,0
-162718.990065788,229579.338396082,5.37771796106113,-11.2501955856036,-7.57720408188765,11.7533708869096,-77385.0320175206,-77385.0320175206,2.98415829012454,-6.94283151987013,-2.55750651125390,-0.314849928205614,6.70678478596557,7.83566392068620,246,-86220.7565148614,28596.6550779236,1.73904794116636,0,0,4.36219909410428,-176410.778243786,-310163.505669567,3.99853059597708,-4.67319572044257,-1.84058800185550,-4.63290482197027,0,0,2823149.49826584,-31900442.2880845,44431353.5468289,0,24.6839688909075,215.393564512806,0,0,-893.767896819226,-500.250695367714,0,17.5583964622569,283.326888357772,795.981583979287,568.736107167265,0
-163622.054007510,179280.907432897,5.40756342149217,0.515809242466547,-5.89446000193669,9.97581479572223,38559.2110209445,38559.2110209445,-3.95170366679527,-4.47726605062124,1.27434764429058,-4.69552308774596,-0.651261129749232,11.7471323268259,246,-104263.415439227,18067.2430336017,0.965243032670704,0,0,-0.0119081227987292,23991.5646956885,99282.9680341121,-1.14869047391467,-3.96349865788939,-0.553228136092673,1.15913395969087,0,0,9690350.35978189,10833042.9463724,-11295881.6319019,0,-130.388750496955,1.66046297074834,0,0,295.224273847543,91.6785155588792,0,30.4357798371736,273.316875827888,841.290869148309,387.712197972808,0
