Y_{1},Y_{2},Z_{1},Z_{2},Z_{3},Z_{4},\operatorname{re}{\left(Y_{12}\right)},\operatorname{im}{\left(Y_{12}\right)},\operatorname{re}{\left(Z_{5}\right)},\operatorname{im}{\left(Z_{5}\right)},\operatorname{re}{\left(Z_{6}\right)},\operatorname{im}{\left(Z_{6}\right)},\operatorname{re}{\left(Z_{7}\right)},\operatorname{im}{\left(Z_{7}\right)},v,\delta Y_{1},\delta Y_{2},\delta Z_{1},\delta Z_{2},\delta Z_{3},\delta Z_{4},\operatorname{re}{\left(\delta Y_{12}\right)},\operatorname{im}{\left(\delta Y_{12}\right)},\operatorname{re}{\left(\delta Z_{5}\right)},\operatorname{im}{\left(\delta Z_{5}\right)},\operatorname{re}{\left(\delta Z_{6}\right)},\operatorname{im}{\left(\delta Z_{6}\right)},\operatorname{re}{\left(\delta Z_{7}\right)},\operatorname{im}{\left(\delta Z_{7}\right)},\delta T_{1},\delta T_{2},\delta T_{CP},\delta T_{CB},\delta\Delta_{13},\delta\Delta_{33},\delta\Delta_{14},\delta\Delta_{24},\delta\Delta_{67},\delta\Delta_{78},m_1,m_2,m_3,m_4,m_5,m_6
-248209.193863866,-26504.4366392431,8.20309319399384,2.94576342131259,0.890556058161345,12.468695773771,11949.4732385681,11949.4732385681,9.10907608834486,3.69039200350624,0.394919467201008,1.02574417232257,9.55009465482475,4.7690902526817,246,-105383.50598001,-134639.64584052,0.631396304723747,0,0,9.87643262809267,78224.7824783285,17022.7270363913,8.35751606073208,3.34658325307062,0.708327781498571,0.176582264233838,0,0,12639048.1296745,10999722.3990832,-1082945.12520784,0,10.8441600450948,7.25885010010651,0,0,-30.7497643536607,16.5776377318513,0,21.0239998240785,269.819614814358,825.847975815656,705.003896877937,0
-65137.3009308389,-304325.612102108,2.15272988733026,5.14218541004948,10.0825088538582,11.0643585882164,105926.50324975,105926.50324975,5.88726176602804,6.77453877209211,3.50077676150934,1.80482771860801,2.72187916770504,11.1440936960002,246,-124600.102025199,-121780.769900337,1.53576764171369,0,0,6.70673412211907,198127.430207351,71893.1731919954,3.95392280728748,5.35193093369793,3.58182545070203,1.70851561350815,0,0,10650685.4007939,19864712.6792841,-856997.715759142,0,-18.8509144670324,3.46974312337278,0,0,-84.7219898021853,99.5391064498163,0,27.403299033735,169.003548710855,840.029751740911,259.104273402214,0
-205370.244775241,-23235.6135942283,6.78730401134381,2.12466532605986,0.772730292481176,10.8721131351157,28419.390789346,28419.390789346,3.7604529730012,7.94082701960286,0.93923560015024,1.45639982666566,12.498275540622,11.7030016822113,246,-96383.0618992265,-129489.261153945,1.11561255100018,0,0,11.8624227545793,126613.191216537,83338.7676152367,4.13608277067332,10.6575891126581,1.84646245149281,1.20801107926303,0,0,12212266.7539988,12477322.6679378,-7387174.74200493,0,8.34205422333843,2.82030589026179,0,0,-8.54777680354337,22.2663929516849,0,12.0689517219641,239.761574300073,797.381773391126,612.915411928314,0
-262625.872386763,-349566.94003701,8.67955160244442,6.37497138129876,11.5691442987197,7.57765389640546,171536.742821582,171536.742821582,3.59094118426624,1.94620710633727,5.66913685047201,1.4368672557107,7.4560504717875,9.82540356221291,246,-207561.53923784,-118493.715157954,4.14562567090615,0,0,3.33206839701727,217632.43080454,63771.0902911755,2.85166899318405,0.667004111112143,3.7834460836837,1.50842320602575,0,0,15526496.1534085,16539379.324743,-988980.543459396,0,0.286619865425796,5.18819572214659,0,0,-46.194638949871,9.03013227165468,0,22.1862153972225,274.045087958179,896.389774133453,325.868327504645,0
-221045.121920046,-186532.754939951,7.30534476568331,6.76762307851266,6.19760225114062,12.3652390076906,86368.7176642441,86368.7176642441,0.497929420701866,7.41545484126961,2.85440933519215,4.31094685231403,5.98955941929537,0.491900279948833,246,-181581.571139571,-144338.05886975,2.45096138669939,0,0,6.44174713345294,155245.205525911,192979.238254881,-0.165671045316894,6.33068475125211,2.66894253845362,3.19534935479364,0,0,17373163.9340756,13632201.2223711,-20706079.565501,0,1.87771041827683,21.2334287163978,0,0,99.0160820454165,15.8555195588562,0,31.5324273575946,335.445181061827,915.62836532871,491.400918484584,0
-301768.866273897,-55404.0916254824,9.9731927514673,3.61638342759665,1.83971959835007,10.1511162638416,217413.98574372,217413.98574372,2.49937354646598,2.58719644668977,7.18533894321237,3.12935198054521,10.4102928432735,5.84559529443235,246,-311618.730650874,-144687.668155584,5.69846784727334,0,0,6.42359508095735,285106.399834101,122047.682914653,3.3724535968114,3.43600405491211,5.09873523356932,2.20749600511441,0,0,24360084.8227242,21785013.7290885,-8726152.2056875,0,-0.235048971203772,24.5142065475035,0,0,-20.4841431931091,-19.2330158144347,0,16.1908610454831,162.607484417177,996.657439425266,445.645292562385,0
-228704.869868068,-144519.807908322,7.55849262568802,11.9618350997539,4.79070581986102,11.5045635891612,35543.0086810484,35543.0086810484,2.05125804790606,3.28549551262803,1.1746648384245,0.853190414646645,2.16445698841628,11.8017940049772,246,-66670.0374620783,-78550.8893079353,0.720226010316131,0,0,5.58475988626236,59230.8614012659,43598.3418440901,1.70204626800954,2.16371933649921,0.968565334120581,0.895081425551893,0,0,8069328.67251153,5016774.08291812,-333717.582192947,0,0.95688001881895,24.3156492356048,0,0,-50.4898162997534,12.2229082047333,0,20.9133638861012,480.373269013393,740.980377797727,612.114572291827,0
-36749.3342238927,-232397.222653655,1.21453282516666,11.0359785425417,7.68226436658372,10.6488892388789,50818.1939502912,50818.1939502912,0.968085749982006,5.99879650032709,1.67949613161118,0.626451192361358,6.66139971197619,4.50093513866597,246,-54634.2317996318,-75386.0805613155,0.582180803879697,0,0,7.61447820417076,87579.210520825,64793.7779192294,1.33396222239829,6.36279558445504,1.88503870478472,1.21978410436595,0,0,4348375.62982698,5751828.14512315,-5720601.96940238,0,12.7661474280145,11.5687643514669,0,0,24.5182637241643,7.34943835299548,0,7.26171814623438,194.140017860454,727.406835985101,388.871782411557,0
-346265.987252478,-370959.216800701,11.4437830409306,8.89465109874832,12.2902161748915,11.8742993104063,60243.9778866955,60243.9778866955,0.0728578743308221,5.19423283108796,1.99100991098868,6.58613716145925,7.37688019494053,7.64899757957082,246,-299778.277104205,-205330.149498714,4.76715058067058,0,0,5.34233788502972,164260.51077604,308626.855639086,-2.77336868776815,5.68456154734198,2.42663104465155,4.75563512371854,0,0,26996819.7149488,13614748.5515058,-26798451.1432327,0,-25.5320785217079,33.4535002235217,0,0,34.6880177611241,28.4807168066121,0,30.3008946924838,276.234204336676,1005.94572220842,569.843161174109,0
-371116.349066938,-157899.166018976,12.2650654064029,9.43924380589392,5.23772982990555,11.07993159294,11968.8366483359,11968.8366483359,7.19334315766266,0.549102270842331,0.395559410679354,0.593353020474785,3.58350304331336,7.95138846704713,246,-102893.365315175,-87933.0879827576,0.458482550151664,0,0,4.02718370011388,33242.2872157952,-7342.00213916276,2.79377948883115,-0.140073610484102,0.407178944446091,-0.127265638298613,0,0,10627304.4947173,2408353.82015157,3497561.95512685,0,-0.538146161553567,9.63712317652255,0,0,-72.1135094375843,3.38580600171662,0,24.1673989975265,339.9929332471,864.570010078668,742.184254599524,0
-322844.929887273,-378163.969279893,10.6697379168244,7.00364344115387,12.5090398947598,10.9224251010772,8931.76878383793,8931.76878383793,3.97697220803738,5.26123530365462,0.295187017775065,0.0248703163536679,6.57940105844909,4.45158293293173,246,-87919.0128458846,-105779.622251402,0.480574458900325,0,0,2.99032167429229,45035.5714157749,18928.9422471755,1.53864488704413,1.96774974611098,0.589412538946923,0.264838961582927,0,0,7320898.94725107,3106991.771839,-820922.835227835,0,0.161432032014791,10.6946238294399,0,0,-5.79814496763726,5.50095486782699,0,18.2909774410276,362.190714673922,805.066771887149,726.653862516417,0
-296942.604641191,-169396.182467916,9.81368909515472,0.118436949139957,5.60794719948474,11.7128526734871,112559.291671082,112559.291671082,9.12537545173332,0.841682511496269,3.71998452214563,0.022101564181059,1.63972336601791,4.36762641897758,246,-183556.390902084,-126762.101507495,2.43582981826096,0,0,9.43717689888944,189773.063720268,-798.652521087921,8.61723510607771,0.813918705466548,3.64220789844247,0.181787580158424,0,0,18249497.4899749,15723376.1370341,3082890.36178833,0,-1.41105270186959,5.32890662311058,0,0,-55.1303208206826,1.46820614661539,0,17.0024672942699,277.881304150624,915.822474093005,622.358053060316,0
-367008.115872731,-308863.105311865,12.1292919516403,6.69372673098137,10.2100899861948,9.73028472079588,141662.713899776,141662.713899776,3.58687642179551,5.57020516475795,4.68182675324793,5.69064337093976,0.160749027403956,4.26611438055074,246,-398669.841969768,-165972.908084522,7.71569248304086,0,0,7.82851580929635,305752.632676269,267548.501893328,3.53856904039825,7.74944618962185,5.78936051209068,4.81442113624339,0,0,27103025.5967145,23887044.8281409,-22038658.4415261,0,3.07189418040702,13.5228138792208,0,0,53.856811665499,63.2019046856381,0,8.59054657272932,129.474252659088,1031.29192553618,492.620664520099,0
-266621.605171017,-356966.132942892,8.81160701867332,6.30576953689125,11.7978400151054,9.52645304651487,118589.886395991,118589.886395991,6.41352298624853,4.81361949487284,3.91929031647798,0.72051037541223,2.59323757361202,7.15158636085985,246,-228329.763365631,-113684.520684729,4.70843679834339,0,0,9.82868104093158,249226.078932937,83332.7011235348,7.77900476461917,5.54987093266097,5.19638355741909,2.36826587972932,0,0,15205703.283303,16855493.6675945,350243.669422065,0,-5.34579901159155,0.35676632432984,0,0,-65.6623948696499,34.3251741522054,0,3.5930814305384,206.377910846454,878.43790935048,543.623822789134,0
-235978.157005237,-340359.799496517,7.79886829946583,2.56932676861575,11.2488930727897,12.2000770334903,169746.643023086,169746.643023086,6.745156699767,1.11485903887434,5.60997564356819,2.58651432743454,5.78338279250627,10.7460777444367,246,-338330.936654806,-182677.507026613,7.05935169719258,0,0,13.1492497740342,427488.3464651,131526.013872714,11.944439258187,2.8030739883694,8.74690383482289,3.01855040341346,0,0,21850214.607273,31015234.9712959,-4616739.97248811,0,12.0246911987572,25.6978705105324,0,0,-33.8856338563577,124.403243436547,0,3.03432034474715,252.886550382751,942.771811943323,507.448808462192,0
-215871.078972627,-349027.48350818,7.13434724610441,4.05017360185969,11.561319376906,12.1022374599193,159160.578954627,159160.578954627,8.7558189596027,6.27773388520811,5.26011563733977,2.96554188987361,7.9313215266323,0.643144913616556,246,-288300.675773197,-216656.921694744,4.49693801964649,0,0,10.2825410152829,367408.381619182,155606.594782716,9.37590272119884,7.03857520981964,6.66379617624875,2.46076608693045,0,0,24832526.7813209,31569144.408278,-17572176.3960265,0,31.4819022087448,4.84263469332666,0,0,106.995639816795,60.7260126416969,0,28.1942937177265,130.520461167041,972.309021625324,450.877557823589,0
-85251.0263402564,-168128.035947221,2.81747063058551,5.70646403627693,5.58216176925383,11.5235239090525,15840.96921709,15840.96921709,2.90800110484338,3.111399702237,0.523529949669179,0.778096782514781,5.59118610818132,2.34387415173987,246,-28855.9533210412,-65202.0259742236,-0.0926925075901955,0,0,4.59106819371994,39400.6107847287,25646.1684740989,1.42400534390968,2.08817439944789,0.56910937054723,0.4843382335579,0,0,3601206.82344736,4159455.40645993,-2106025.93453262,0,-7.82600377343899,23.5845244191331,0,0,0.753484945110856,10.0428583716229,0,27.8749864010891,387.614085736165,696.888962271011,483.233639245249,0
