Y_{1},Y_{2},Z_{1},Z_{2},Z_{3},Z_{4},\operatorname{re}{\left(Y_{12}\right)},\operatorname{im}{\left(Y_{12}\right)},\operatorname{re}{\left(Z_{5}\right)},\operatorname{im}{\left(Z_{5}\right)},\operatorname{re}{\left(Z_{6}\right)},\operatorname{im}{\left(Z_{6}\right)},\operatorname{re}{\left(Z_{7}\right)},\operatorname{im}{\left(Z_{7}\right)},v,\delta Y_{1},\delta Y_{2},\delta Z_{1},\delta Z_{2},\delta Z_{3},\delta Z_{4},\operatorname{re}{\left(\delta Y_{12}\right)},\operatorname{im}{\left(\delta Y_{12}\right)},\operatorname{re}{\left(\delta Z_{5}\right)},\operatorname{im}{\left(\delta Z_{5}\right)},\operatorname{re}{\left(\delta Z_{6}\right)},\operatorname{im}{\left(\delta Z_{6}\right)},\operatorname{re}{\left(\delta Z_{7}\right)},\operatorname{im}{\left(\delta Z_{7}\right)},\delta T_{1},\delta T_{2},\delta T_{CP},\delta T_{CB},\delta\Delta_{13},\delta\Delta_{33},\delta\Delta_{14},\delta\Delta_{24},\delta\Delta_{67},\delta\Delta_{78},m_1,m_2,m_3,m_4,m_5,m_6
-306138.736626873,-274144.543686330,10.1176130817263,-6.04524773887262,9.08557881227039,10.3453718024533,-194789.230950078,-194789.230950078,0.972147060946121,5.15830177360518,-6.43761091116656,-4.70383172537783,-11.7147120423431,2.34999335375721,246,-328646.315446212,-178034.343324631,5.64045682285315,0,0,5.98303455488554,-274327.893111639,-218565.233056592,-0.203598792420897,5.42077949082179,-4.79725413219215,-3.30089938358034,0,0,27221589.0546926,-20099255.4109322,23509869.1512101,0,7.70783123507024,18.9348760729238,0,0,-93.4962958032804,53.6693475015364,0,27.6929596711450,228.417211834023,1014.71535149350,397.555186185650,0
-192265.437048033,-128600.296058588,6.35420176640996,0.348958712317330,4.27537850231378,9.99417859321137,98653.8921496408,98653.8921496408,-3.03565304256270,5.06346696915095,3.26042343015536,1.62559711919319,12.0593886731968,0.00778934567266631,246,-101982.063858584,-79818.9377569630,1.57050052233424,0,0,5.25602773342816,86101.0054808025,91456.5211402113,-1.86264918552785,3.96244801186913,1.52218344155877,1.57073039470703,0,0,10263545.8926034,5673978.84509690,-8918342.61635693,0,-12.5571299265215,12.1699734619729,0,0,33.2667502651289,-21.3249501008119,0,27.6424793465100,249.073169165142,796.234875613681,542.991140287010,0
-158884.065559772,-351560.196222590,5.25097711546607,7.54191355042219,11.6483003617620,5.55966490054184,-51648.1504184805,-51648.1504184805,0.00763012459095691,0.0183644655630015,-1.70692545503604,-0.251369386408561,-7.81488714684789,-2.68842325107990,246,-36692.8787798812,-28987.7076611987,0.911926963380330,0,0,0.130772971073380,-33896.6751810477,-7822.59570654369,0.257934430383690,-0.0113974064911419,-0.717595859009665,-0.199587590699433,0,0,2064739.11135199,-1426130.10615441,187556.966318215,0,0.0224948282420091,1.21119859127176,0,0,1.26564201244157,4.54192777926942,0,29.9011057254589,339.968102418865,609.660973042869,410.779931075123,0
-126840.826855218,121078.893053972,4.19197656339541,-3.64058842411489,-3.98315154906768,9.97012043627947,-42295.3635966344,-42295.3635966344,-8.62830998272404,1.22275873509640,-1.39782416539872,-3.11316280886782,-0.422101582659401,2.29706911773468,246,-87489.4211144604,-86686.9375794262,0.985962483002340,0,0,7.08376329651507,-10327.3602497254,-86090.8678497147,-6.53668892906379,0.862210707043743,-0.328243391113512,-2.22120432957311,0,0,8029277.31627107,-68142.3413396027,5396705.51609165,0,-0.522593507006275,3.25224463388530,0,0,2.60593953441374,12.9898516730881,0,23.5943527625140,99.1989554070365,812.562404548144,433.645886591791,0
-85262.8134351380,-187963.975143157,2.81786018359237,4.14435391555463,6.22885634074033,5.43185546794358,17998.4595120965,17998.4595120965,1.09601667755159,-0.226964986846829,0.594833085864780,1.60614160330211,11.1718944299021,2.61409125335806,246,-13779.3784629045,-16059.4497146764,0.324606349147748,0,0,1.20678937295681,20806.1584624126,13606.9967776005,0.456883526669909,0.0348252458924313,0.558828646715759,0.344072127194514,0,0,848727.320859378,515655.235499005,-384638.943776372,0,-1.69288601180603,1.25581404858889,0,0,-6.96966282448597,-2.40696361811367,0,22.5557091434553,216.036920709534,509.657525181270,440.266474211611,0
-337567.730835795,249828.873346162,11.1563133992926,2.69196593592735,-8.25214137133932,11.7912242670675,-66253.5996559506,-66253.5996559506,-5.00428429510819,6.77290304585570,-2.18962256778209,-3.36292508452483,5.56895536742136,4.69106742403568,246,-187193.796535213,-121886.850504924,2.54170723320559,0,0,10.1273751853720,-82607.9287075821,-119941.770519743,-5.20616703360403,6.80657180559731,-2.10670105258411,-3.23463474696977,0,0,15706896.9677551,-7291225.31073736,8393377.55755752,0,-0.657944812914660,9.35309598301285,0,0,20.6062719233072,-25.1634069083644,0,11.6438710134043,317.123874871819,942.016055108211,633.247620434887,0
-157068.121801639,295687.033255271,5.19096178867206,-6.68337173639835,-9.74870912695499,12.2340077862809,49675.2270225658,49675.2270225658,-5.92633293785785,-0.446039699989809,1.64172209077156,3.88619265103388,8.76827325738139,4.19202269343852,246,-124245.241357943,-84735.6907482469,2.01208865078143,0,0,7.35439136095424,-10139.0808051426,95550.7224667770,-4.62722083979753,0.0246421777658895,-0.293304857243792,1.91618866447478,0,0,11515690.3427659,-2753679.37783741,-7554334.59676098,0,-15.8391500729223,27.6398476037059,0,0,-22.1072264075400,-68.3535861129376,0,26.6569407822136,294.566279653446,835.868303405556,520.063005831632,0
-142261.606908628,-287443.783905338,4.70161963476198,-6.34511696674671,9.51156089886690,7.67489352946809,1751.50468411853,1751.50468411853,3.80682026676045,-5.56308228893347,0.0578856726855221,1.07420498040648,10.3199319683602,4.74170052023023,246,-37138.3298089792,-40757.0211843843,0.328711791663048,0,0,2.86796225353161,16305.2997168202,-1458.66329721507,1.39208110669837,-1.66016819440540,0.344777153910337,0.262800697385581,0,0,2424894.42902984,-706281.042769860,3165342.67606507,0,-1.74037175740562,0.218394339830532,0,0,-50.9742017019712,-22.3469782242750,0,18.8951256300825,124.629329205671,664.485375616907,540.941621697483,0
-237016.276959982,71214.9312186550,7.83317724105962,-6.03266992520277,-2.34791937896932,8.60062498973441,-63104.0777586596,-63104.0777586596,5.61885863714569,2.97554911918159,-2.08553366906800,-0.306936027356731,-3.88575019466023,7.83261576191045,246,-67455.8225900268,-41501.4630101733,0.823840885773604,0,0,5.16473796624756,-64260.9490448848,-32532.0923797723,3.52020257916946,1.86882167407570,-1.38316377992864,-0.595407626424932,0,0,7140097.10877812,-3920339.55659780,4594129.08636403,0,-0.185048727745386,0.951148120136565,0,0,-53.0710107989189,15.2424182863140,0,13.0991087407289,260.007413863252,768.751402540778,579.886691454516,0
-311812.116842973,-1865.73045516821,10.3051132541137,-6.50225893867828,0.0833538270275547,12.2940220514799,199155.196161935,199155.196161935,4.38002539874511,-4.97822327648538,6.58190217998331,-0.417818531054182,11.3264278610347,5.26140686708954,246,-269110.545052201,-152338.366609607,4.15227765457656,0,0,8.46875623330501,278872.944255692,-76466.4477550113,5.08749132330605,-4.46770761079122,4.69632139607031,-1.40943923137367,0,0,25186114.9757471,23192416.0114280,8118001.22675323,0,12.4284191349152,28.0655038679914,0,0,-47.7199269006679,-14.7482526499973,0,25.6201023228156,300.945791846538,992.925063745874,540.789699970772,0
